Category,Name,Organization,Data Format,Update Frequency,Description,API
Commerce and Industry,Open Tenders issued via e-Tender Box (ETB) of Government Logistics Department (GLD),Government Logistics Department,XML,"Daily at 12:05am, 12:05pm, 2:00pm and as necessary",Open Tenders issued via e-Tender Box (ETB) of Government Logistics Department (GLD),N
Commerce and Industry,Offshore Trade in Goods,Census and Statistics Department,XLS,Annual,Offshore Trade in Goods,N
Health,List of applications for proprietary Chinese medicine (pCm) registration,Department of Health,XML,As and when necessary,"List showing the product name, trademark text, product holder (pCm wholesaler/ pCm manufacturer), pCm registration number/application number and active ingredients displayed on the pCm label etc.",N
Health,List of clinics registered under Medical Clinics Ordinance (Cap. 343),Department of Health,XLSX,As and when necessary,List of clinics registered under Medical Clinics Ordinance (Cap. 343) with address information of the private healthcare institutions,N
Health,"List of Registered Private Hospitals under Hospitals, Nursing Homes and Maternity Homes Registration Ordinance (Cap. 165)",Department of Health,XLSX,As and when necessary,"List of Registered Private Hospitals under Hospitals, Nursing Homes and Maternity Homes Registration Ordinance (Cap. 165) with contact information includng the address, telephone number, fax number, email address and website of the private healthcare...",N
Health,"List of Registered Nursing Homes under Hospitals, Nursing Homes and Maternity Homes Registration Ordinance (Cap. 165)",Department of Health,XLSX,As and when necessary,"List of Registered Nursing Homes under Hospitals, Nursing Homes and Maternity Homes Registration Ordinance (Cap. 165) with the contact information including address, telephone number, fax number, email address of the private healthcare institutions",Y
Health,List of Registered Pharmaceutical Products,Department of Health,XML,As and when necessary,"List showing the name of product, name of registration certificate holder, Hong Kong registration number (Permit No) and active ingredient(s) of each registered pharmaceutical product.",N
Health,Life Expectancy,Department of Health,XLSX,Yearly or as and when necessary,Life Expectancy at Birth by Sex for the Period from 1971 to 2016,Y
Health,Inpatient Statistics,Department of Health,XLSX,As and when necessary,Inpatient Discharges and Deaths in All Hospitals Classified by Disease for the Year 2016,N
Health,List of Licensed Drug Dealers (English Only),Department of Health,XML,As and when necessary,"List showing the name of company, address of company, licence type, district and telephone number of each licensed drug dealer",N
Health,HIV/AIDS yearly statistics in Hong Kong,Department of Health,XLSX,every year,HIV/AIDS yearly statistics in Hong Kong 1984 - 2016,N
Health,List of Licensed Pharmacies (English Only),Department of Health,XML,As and when necessary,"List showing the name, address, district and telephone number of each licensed pharmacy (Authorized Seller of Poisons)",N
Health,Hong Kong's Domestic Health Accounts (HKDHA),Food and Health Bureau,XLSX,Yearly or as and when necessary,Estimate of domestic health expenditure,N
Commerce and Industry,Labour Productivity Index (Year 2000 = 100),Census and Statistics Department,XLS,Half-yearly,Labour Productivity Index (Year 2000 = 100),N
Health,Influenza Virus Subtyping,Department of Health,CSV,Quarterly,"The following data is updated on a quarterly basis.  Please visit the website of the Centre of Health Protection, Department of Health, for the latest data.",N
Commerce and Industry,"Key Statistics on Business Performance and Operating Characteristics of the Import/Export, Wholesale and Retail Trades, and Accommodation and Food Services Sectors",Census and Statistics Department,XLS/XML,Annual,"Key Statistics on Business Performance and Operating Characteristics of the Import/Export, Wholesale and Retail Trades, and Accommodation and Food Services Sectors",N
Commerce and Industry,List of Experimental Station Licensees,Office of the Communications Authority,XLSX,Monthly,List of Experimental Station Licensees,Y
Commerce and Industry,"Key Statistics on Business Performance and Operating Characteristics of the Building, Construction and Real Estate Sectors",Census and Statistics Department,XLS/XML,Annual,"Key Statistics on Business Performance and Operating Characteristics of the Building, Construction and Real Estate Sectors",N
Commerce and Industry,"Key Statistics on Business Performance and Operating Characteristics of the Information and Communications, Financing and Insurance, Professional and Business Services Sectors",Census and Statistics Department,XLS/XML,Annual,"Key Statistics on Business Performance and Operating Characteristics of the Information and Communications, Financing and Insurance, Professional and Business Services Sectors",N
Commerce and Industry,"Key Statistics on Business Performance and Operating Characteristics of the Transportation, Storage and Courier Services Sector",Census and Statistics Department,XLS/XML,Annual,"Key Statistics on Business Performance and Operating Characteristics of the Transportation, Storage and Courier Services Sector",N
Commerce and Industry,Index of Industrial Production,Census and Statistics Department,XLS/XML,Quarterly,Index of Industrial Production,N
Commerce and Industry,Index Numbers of the Costs of Labour and Materials used in Public Sector Construction Projects,Census and Statistics Department,XLS/XML,Monthly,Index Numbers of the Costs of Labour and Materials used in Public Sector Construction Projects,N
Commerce and Industry,Household Expenditure Survey and the Rebasing of the Consumer Price Indices,Census and Statistics Department,XLS,Ad hoc,Household Expenditure Survey and the Rebasing of the Consumer Price Indices,N
Commerce and Industry,Hong Kong's Principal Trading Partners,Trade and Industry Department,XLS,As and when necessary,Key statistics of Hong Kong external merchandise trade.,Y
Commerce and Industry,Hong Kong Energy Statistics,Census and Statistics Department,XLS/XML,Monthly,Hong Kong Energy Statistics,N
Health,Feature Articles on Health,Census and Statistics Department,CSV/XLS,Ad hoc,Feature Articles on Health,N
Health,List of Hospital Authority Hospitals/Institutions/Specialist Outpatient Clinics/General Outpatient Clinics,Hospital Authority,JSON/XLSX,Quarterly,List of Hospital Authority Hospitals/Institutions/Specialist Outpatient Clinics/General Outpatient Clinics,N
Health,Inpatient and day inpatient services throughputs,Hospital Authority,JSON/XLSX,Annually,Inpatient and day inpatient services throughputs,N
Health,Estimated total and per capita alcohol consumption,Department of Health,XLSX,Yearly or as and when necessary,"Estimated total and per capita alcohol consumption in Hong Kong (in litres), 2004-2016",Y
Health,Health Manpower Survey,Department of Health,XLSX,Every 3 years,Health Manpower Survey,N
Environment,Pleasant Environment Statistics,Food and Environmental Hygiene Department,XLS,As and when necessary,Pleasant Environment Statistics (2014-2017),N
Commerce and Industry,Domestic Export Statistics Classified by Industrial Origin,Census and Statistics Department,XLS,Quarterly,Domestic Export Statistics Classified by Industrial Origin,N
Social Welfare,Approved fund-raising activities,Office of the Government Chief Information Officer,JSON/XML,"Social Welfare Department:  as necessary;
Food and Environmental Hygiene Department: twice daily;
Home Affairs Department: as necessary;
Home Affairs Bureau: as necessary.","Information of approved fund-raising activities for Public Subscription Permit, Temporary Hawker Licence, Lottery Licence and Non-Charitable Fund-Raising Permit.

HTTP method: GET

**Parameters**:

- fromdate: First date in a date range of the...",Y
Health,FEHD facility and service locations,Food and Environmental Hygiene Department,XML,As and when necessary,Locations and details about different facilities and services provided by the Food and Environmental Hygiene Department,Y
Environment,Solid waste statistics,Census and Statistics Department,XLS,Annual,Solid waste statistics,N
Environment,Recent River Water Quality Data,Environmental Protection Department,CSV,Every mid of month,Recent Dissolved Oxygen (DO) and bacteria (E. coli) data at downstream monitoring stations of major rivers from 05/2016 to 04/2018,N
Commerce and Industry,Hong Kong Trade in Services Statistics,Census and Statistics Department,XLS/XML,Half-yearly,Hong Kong Trade in Services Statistics,N
Commerce and Industry,Defect rectification tips for HK Electric's inspection on customer installation,"The Hongkong Electric Company, Limited",CSV,As and when necessary,"Provide the defect list and the rectification tips for the inspection on customer installation for application of new or additional supply. The CSV file contains the defect details (including code, section, type and description) and the rectification tips.",Y
Commerce and Industry,Contractor List 2: Gas Installation Work In Commercial Kitchens Registered Gas Contractors (LPG),Electrical and Mechanical Services Department,XLSX,Monthly,Lists of registered gas contractors under the Gas Safety (Registration of Gas Installers and Gas Contractors) Regulations,Y
Commerce and Industry,Contractor List 3: Registered Gas Contractors (Dim Sum Trolley Supply and/or Service),Electrical and Mechanical Services Department,XLSX,Monthly,Lists of registered gas contractors under the Gas Safety (Registration of Gas Installers and Gas Contractors) Regulations,Y
Environment,Youth.gov.hk Freshtube video channel,Efficiency Office,XML,As and when necessary,"The Freshtube video channel of Youth.gov.hk is a dedicated green-channel for youths. It introduces natural resources in Hong Kong, discusses different environmental issues and promote green living.",N
Environment,Waste Less - Recyclable Collection Points Data,Environmental Protection Department,CSV,As and when necessary,“Waste Less” is a mobile app developed by the Environmental Protection Department (EPD) of the Government of the Hong Kong Special Administrative Region. Its database stores the location and details of various recyclable collection points all over Hong Kong.,Y
Environment,Water Dispensers in FEHD Public Markets,Food and Environmental Hygiene Department,CSV,As and when necessary,List of Water Dispensers in FEHD Public Markets,N
Health,EV Scan's figures data,Department of Health,XLSX,Weekly,"Hand, foot and mouth disease surveillance data including number of EV71 cases, institutional outbreaks, hospital surveillance and sentinel surveillance",N
Environment,Update of Red Tide Situation,"Agriculture, Fisheries and Conservation Department",CSV,Every Week,Information of red tide sighted in Hong Kong waters,Y
Environment,The Quantity of Natural Sand from Mainland used in Construction Industry,Civil Engineering and Development Department,XLSX,Monthly,The Quantity of Natural Sand from Mainland used in Construction Industry,N
Commerce and Industry,Contractor List 1: Gas Installation Work In Commercial Kitchens Registered Gas Contractors (Town Gas),Electrical and Mechanical Services Department,XLSX,Monthly,Lists of registered gas contractors under the Gas Safety (Registration of Gas Installers and Gas Contractors) Regulations,Y
Environment,Past record of Air Quality Health Index (Simplified Chinese Version),Environmental Protection Department,CSV,Every Six Months,Hourly Air Quality Health Index (AQHI) at different Air Quality Monitoring stations since 30 December 2013 (Simplified Chinese Version),N
Commerce and Industry,Consumer Price Index,Census and Statistics Department,XLS/XML,Monthly,Consumer Price Index,N
Health,"Doctors per 10,000 population",Department of Health,XLSX,As and when necessary,"Doctors per 10,000 population",N
Health,Detection of Gastroenteritis Viruses from Faecal Specimens,Department of Health,CSV,Quarterly,"The following data is updated on a quarterly basis.  Please visit the website of the Centre of Health Protection, Department of Health, for the latest data.",N
Health,Detection of Pathogens from Respiratory Specimens,Department of Health,CSV,Quarterly,"The following data is updated on a quarterly basis.  Please visit the website of the Centre of Health Protection, Department of Health, for the latest data.",N
Health,Detection Rate of Overweight & Obesity of 4-year old Children,Department of Health,XLSX,Yearly or as and when necessary,Detection rate of overweight and obesity of 4-year-old children who attended Maternal and Child Health Centres in 2011 to 2017,N
Health,Department of Health -  outpatient service attendances,Department of Health,XLSX,As and when necessary,"Department of Health -  outpatient service attendances

(i) General Outpatient Service Attendances

(ii) Other Outpatient Service Attendances",N
Commerce and Industry,Construction Output,Census and Statistics Department,XLS/XML,Quarterly,Construction Output,N
Recreation and Culture,11-a-side Soccer Pitches (Artificial Turf Pitch),Leisure and Cultural Services Department,JSON,As and when necessary,Location of 11-a-side Soccer Pitches (Artificial Turf Pitch),N
Environment,Past record of Air Quality Health Index (Traditional Chinese Version),Environmental Protection Department,CSV,Every Six Months,Hourly Air Quality Health Index (AQHI) at different Air Quality Monitoring stations since 30 December 2013 (Traditional Chinese Version),Y
Health,Death Statistics,Department of Health,XLSX,As and when necessary,"Death statistics

(i) Number of Deaths for Different Sexes and Crude Death Rate for the Period from 1981 to 2016

(ii) Age-standardized Death Rate (Overall and by Sex) for the Period from 1981 to 2016

(iii) Age-specific Death Rate for Year 2006 and...",Y
Climate and Weather,Local weather forecast,Hong Kong Observatory,RSS,Hourly and as necessary,Provide local weather forecast for today and/or tomorrow,N
Environment,Past 24-hour Pollutant Concentration of individual Air Quality Monitoring stations,Environmental Protection Department,XML,Hourly,Pollutant Concentration at individual general and roadside Air Quality Monitoring stations for the past 24 hours,N
Health,Confirmed Cases of Food Poisoning due to Clenbuterol & Pesticides,Department of Health,XLSX,Monthly,Food poisoning surveillance data including the number of confirmed food poisoning outbreaks due to clenbuterol and pesticides and the number of persons affected,Y
Commerce and Industry,Business Tendency,Census and Statistics Department,XML,Quarterly,Business Tendency,N
Commerce and Industry,Competent Persons (Class 6),Electrical and Mechanical Services Department,XLSX,Yearly - Competent Persons (Class 6),List of registered vehicle mechanics and list of competent persons qualified in servicing LPG vehicle,Y
Commerce and Industry,Business Situation of Small and Medium-sized Enterprises,Census and Statistics Department,XLS,Monthly,Business Situation of Small and Medium-sized Enterprises,N
Environment,Past record of Air Quality Health Index (English Version),Environmental Protection Department,CSV,Every Six Months,Hourly Air Quality Health Index (AQHI) at different Air Quality Monitoring stations since 30 December 2013 (English Version),Y
Commerce and Industry,Companies in Hong Kong Representing Parent Companies Located outside Hong Kong,Census and Statistics Department,XLS,Annual,Companies in Hong Kong Representing Parent Companies Located outside Hong Kong,N
Climate and Weather,Current weather report,Hong Kong Observatory,RSS,Hourly and as necessary,Provide current weather report of Hong Kong,N
Housing,Summary Statistics on Valuation List and Government Rent Roll,Rating and Valuation Department,XLS,Annually,Statistical summary on number of assessments and rateable values contained in the Valuation List and the Government Rent Roll,Y
Environment,Past 24-hour Air Quality Health Index of individual Air Quality Monitoring stations,Environmental Protection Department,XML,Hourly,Air Quality Health Index (AQHI) at individual general and roadside Air Quality Monitoring stations for the past 24 hours,N
Health,Cancer Statistics,Department of Health,XLSX,As and when necessary,Number of Cancer New Cases and Registered Deaths by Ten Leading Cancer Disease Group by Sex 2015,N
Health,Birth Statistics,Department of Health,XLSX,As and when necessary,"Birth Statistics

(i) Number of Known Births for Different Sexes and Crude Birth Rate for the Period from 1981 to 2016

(ii) Percentage Distribution of Live Births by Birth Weight for the Period from 2012 to 2016",Y
Health,Bacterial Pathogen Isolation and Percentage of Antimicrobial Resistance - Out-patient Setting,Department of Health,CSV,Quarterly,"The following data is updated on a quarterly basis.  Please visit the website of the Centre of Health Protection, Department of Health, for the latest data.",N
Environment,Hong Kong Energy End-use Data,Electrical and Mechanical Services Department,XLSX,Yearly,Hong Kong energy end-use data 2017,N
Commerce and Industry,Average Wholesale Prices of Selected Building Materials,Census and Statistics Department,XML,Monthly,Average Wholesale Prices of Selected Building Materials,N
Commerce and Industry,Auto-LPG Prices,Electrical and Mechanical Services Department,XLSX,Monthly,Pricing adjustment mechanism for auto-LPG at dedicated LPG filling stations,N
Commerce and Industry,Approved Competent Persons for Locating Underground Electricity Cables,Electrical and Mechanical Services Department,XLSX,Monthly,List of approved competent persons for locating underground electricity cables,Y
Housing,Property information of the CCI constituent estates,Centaline Property Agency Limited,CSV,As and when necessary,"The CSV provides property information of the CCI constituent estates, including estate facilities, developer(s), occupation year and number of buildings. 

Terms of...",Y
Environment,Past Record of Air Pollution Index (Traditional Chinese Version),Environmental Protection Department,CSV,N/A,Hourly Air Pollution Index (API) at different Air Quality Monitoring stations from July 1999 to December 2013 (Traditional Chinese Version),N
Housing,Property Market Statistics,Rating and Valuation Department,XLS,"Monthly, except for ""Completions and related statistics"" to be updated annually","Statistical data on prices, rents, market yields, number of transactions, completions, stock, vacancy and take-up of various types of properties.",Y
Housing,Location and Profile of Public Housing Estates,Hong Kong Housing Authority,JSON,Ad-hoc,"Location and profile of the Hong Kong Housing Authority’s public housing estates, shopping centres, flatted factories and courts sold under the Home Ownership Scheme / Private Sector Participation Scheme",N
Climate and Weather,9-day weather forecast,Hong Kong Observatory,RSS,Twice daily and as necessary,Provide 9-day weather forecast of Hong Kong,N
Environment,Historical River Water Quality Data (Traditional Chinese Version),Environmental Protection Department,CSV,To be updated yearly along with the Annual Report on River Water Quality in Hong Kong (Usually in Q3),River Water Quality data at different monitoring stations from 1986 to 2016 (Traditional Chinese Version),N
Health,Behavioural Risk Factor Survey,Department of Health,XLSX,As and when necessary,"Behavioural Risk Factor Survey

(i)  Body Mass Index (BMI) distribution (adult Europeans and Chinese adults in Hong Kong)

(ii) Weight control data

(iii) Days of physical activity (vigorous, moderate and walking)

(iv) Level of physical activity

(v)...",N
Environment,Past Record of Air Pollution Index (English Version),Environmental Protection Department,CSV,N/A,Hourly Air Pollution Index (API) at different Air Quality Monitoring stations from July 1999 to December 2013 (English Version),N
Commerce and Industry,Business Receipts Indices for Service Industries,Census and Statistics Department,XLS/XML,Quarterly,Business Receipts Indices for Service Industries,N
Development,Redevelopment and Conversion of Industrial Buildings,Lands Department,XLSX,As and when necessary,Executed Special Waiver Cases,Y
Environment,Historical River Water Quality Data (Simplified Chinese Version),Environmental Protection Department,CSV,To be updated yearly along with the Annual Report on River Water Quality in Hong Kong (Usually in Q3),River Water Quality data at different monitoring stations from 1986 to 2016 (Simplified Chinese Version),N
Development,Redevelopment and Conversion of Industrial Buildings,Lands Department,XLSX,As and when necessary,Executed Lease Modification Cases,Y
Development,Private Treaty Grant,Lands Department,XLSX,As and when necessary,Private Treaty Grant,Y
Development,Redevelopment and Conversion of Industrial Buildings,Lands Department,XLSX,As and when necessary,Executed Land Exchange Cases,Y
Development,Monthly Digests of Buildings Department - Prosecutions instigated under the Buildings Ordinance and Fire Safety (Commercial Premises) Ordinance,Buildings Department,XLS,Monthly,"Statistics extracted from the Monthly Digests published by the Buildings Department.

For more details about this dataset, you may refer to the PDF version of the Monthly Digests published on [the website of the Buildings...",N
Development,Monthly Digests of Buildings Department - New buildings - Approvals of new and major revision building plans,Buildings Department,XLS,Monthly,"Statistics extracted from the Monthly Digests published by the Buildings Department.

For more details about this dataset, you may refer to the PDF version of the Monthly Digests published on [the website of the Buildings...",N
Development,Registers of Buildings Department,Buildings Department,XLS,Every Monday and Thursday,"Registers of Authorized Persons, engineers, inspectors and contractors of the Buildings Department.

The XLS files provide basic information, contact information, registration number, services provided (if applicable), etc. of registered individuals /...",Y
Development,Street Name,Lands Department,XLS/XML,January and July,"Street names showing in map products published by the Survey and Mapping Office, Lands Department.",N
Development,Redevelopment and Conversion of Industrial Buildings,Lands Department,XLSX,As and when necessary,Summary of Applications Received and Under Processing,N
Development,"Monthly Digests of Buildings Department - Existing buildings - Reports received about dangerous buildings, hillsides, advertising signs, unauthorised building work and defective drains",Buildings Department,XLS,Monthly,"Statistics extracted from the Monthly Digests published by the Buildings Department.

For more details about this dataset, you may refer to the PDF version of the Monthly Digests published on [the website of the Buildings...",N
Development,Monthly Digests of Buildings Department - New buildings - Completion of new buildings and alteration & addition work,Buildings Department,XLS,Monthly,"Statistics extracted from the Monthly Digests published by the Buildings Department.

For more details about this dataset, you may refer to the PDF version of the Monthly Digests published on [the website of the Buildings...",N
Development,"Monthly Digests of Buildings Department - Existing buildings - Compliance with statutory orders issued on dangerous buildings, hillsides, investigation on building defects, buried services investigation, advertising signs, unauthorised building work and defective drains",Buildings Department,XLS,Monthly,"Statistics extracted from the Monthly Digests published by the Buildings Department.

For more details about this dataset, you may refer to the PDF version of the Monthly Digests published on [the website of the Buildings...",N
Development,Monthly Digests of Buildings Department - New buildings - Occupation Permits issued by the Building Authority,Buildings Department,XLS,Monthly,"Statistics extracted from the Monthly Digests published by the Buildings Department.

For more details about this dataset, you may refer to the PDF version of the Monthly Digests published on [the website of the Buildings...",N
Development,Monthly Digests of Buildings Department - New buildings - Consent to commence general building and superstructure work,Buildings Department,XLS,Monthly,"Statistics extracted from the Monthly Digests published by the Buildings Department.

For more details about this dataset, you may refer to the PDF version of the Monthly Digests published on [the website of the Buildings...",N
Development,Monthly Digests of Buildings Department - New Buildings - Plans processed by the Building Authority,Buildings Department,XLS,Monthly,"Statistics extracted from the Monthly Digests published by the Buildings Department.

For more details about this dataset, you may refer to the PDF version of the Monthly Digests published on [the website of the Buildings...",N
Development,Monthly Digests of Buildings Department - New buildings - Consent to commence work issued by the Building Authority,Buildings Department,XLS,Monthly,"Statistics extracted from the Monthly Digests published by the Buildings Department.

For more details about this dataset, you may refer to the PDF version of the Monthly Digests published on [the website of the Buildings...",N
Development,"Monthly Digests of Buildings Department - Existing buildings - Compliance with advisory letters issued on building defects, unauthorised building work and defective drains",Buildings Department,XLS,Monthly,"Statistics extracted from the Monthly Digests published by the Buildings Department.

For more details about this dataset, you may refer to the PDF version of the Monthly Digests published on [the website of the Buildings...",N
Development,"Monthly Digests of Buildings Department - Existing buildings - Statutory orders issued on dangerous buildings, investigation on buildings defects, hillsides, buried services investigation, advertising signs, unauthorised building work and defective drains",Buildings Department,XLS,Monthly,"Statistics extracted from the Monthly Digests published by the Buildings Department.

For more details about this dataset, you may refer to the PDF version of the Monthly Digests published on [the website of the Buildings...",N
Development,Monthly Digests of Buildings Department - Detailed information - New buildings for which notification of commencement of general building and superstructure work has been received,Buildings Department,XLS,Monthly,"Statistics extracted from the Monthly Digests published by the Buildings Department.

For more details about this dataset, you may refer to the PDF version of the Monthly Digests published on [the website of the Buildings...",N
Development,Monthly Digests of Buildings Department - Detailed information - New buildings for which plans have been approved,Buildings Department,XLS,Monthly,"Statistics extracted from the Monthly Digests published by the Buildings Department.

For more details about this dataset, you may refer to the PDF version of the Monthly Digests published on [the website of the Buildings...",N
Housing,Land Registry Yearly Statistical Summary,Land Registry,JSON/XLS,Yearly,The Land Registry's Yearly Statistics.,N
Development,Monthly Digests of Buildings Department - Detailed information - Completed new buildings for which occupation permits have been issued,Buildings Department,XLS,Monthly,"Statistics extracted from the Monthly Digests published by the Buildings Department.

For more details about this dataset, you may refer to the PDF version of the Monthly Digests published on [the website of the Buildings...",N
Health,Antimicrobial Susceptibility Testing,Department of Health,CSV,Quarterly,"The following data is updated on a quarterly basis.  Please visit the website of the Centre of Health Protection, Department of Health, for the latest data.",N
Development,Monthly Digests of Buildings Department - Advisory services - Advice to Licensing Authorities,Buildings Department,XLS,Monthly,"Statistics extracted from the Monthly Digests published by the Buildings Department.

For more details about this dataset, you may refer to the PDF version of the Monthly Digests published on [the website of the Buildings...",N
Environment,Historical River Water Quality Data (English Version),Environmental Protection Department,CSV,To be updated yearly along with the Annual Report on River Water Quality in Hong Kong (Usually in Q3),River Water Quality data at different monitoring stations from 1986 to 2016 (English Version),N
Development,Monthly Digests of Buildings Department - Detailed information - New buildings for which consent to commence work has been given,Buildings Department,XLS,Monthly,"Statistics extracted from the Monthly Digests published by the Buildings Department.

For more details about this dataset, you may refer to the PDF version of the Monthly Digests published on [the website of the Buildings...",N
Health,Ambulatory and community services throughputs,Hospital Authority,JSON/XLSX,Annually,Ambulatory and community services throughputs,N
Health,Antenatal Screening,Department of Health,CSV,Quarterly,"The following data is updated on a quarterly basis.  Please visit the website of the Centre of Health Protection, Department of Health, for the latest data.",N
Environment,Disposal records of C&D materials at Sorting Facilities,Civil Engineering and Development Department,XLS,Daily,Disposal Records of C & D Materials at Sorting Facilities from Public Works Contracts,Y
Development,Monthly Digests of Buildings Department - Detailed information - Buildings for which Building Authority has issued demolition orders,Buildings Department,XLS,Monthly,"Statistics extracted from the Monthly Digests published by the Buildings Department.

For more details about this dataset, you may refer to the PDF version of the Monthly Digests published on [the website of the Buildings...",N
Housing,Feature Articles on Housing,Census and Statistics Department,CSV,Ad hoc,Feature Articles on Housing,N
Housing,"Consents to Sell, Consents to Assign and Approvals of Deeds of Mutual Covenant Issued Since 1.1.1994",Lands Department,XLS,As and when required,"Consents to Sell, Consents to Assign and Approvals of Deeds of Mutual Covenant Issued Since 1.1.1994",Y
Housing,"Consents to Sell, Consents to Assign and Approvals of Deeds of Mutual Covenant Issued Before 1994",Lands Department,XLSX,As and when required,"Consents to Sell, Consents to Assign and Approvals of Deeds of Mutual Covenant Issued Before 1994",Y
Development,Lease Extension,Lands Department,XLSX,As and when necessary,Lease Extension,Y
Environment,Disposal records of C&D materials at Public Fill Reception Facilities,Civil Engineering and Development Department,XLS,Daily,Disposal Records of Inert C & D Materials at Public Fill Reception Facilities from Public Works Contracts,Y
Health,Accident & Emergency Departments Communicable Diseases Syndromic Surveillance,Department of Health,XLSX,Weekly,Findings of the communicable diseases surveillance based at the Accident & Emergency Departments of public hospitals,N
Environment,Current Air Quality Health Index of individual Air Quality Monitoring stations,Environmental Protection Department,RSS,Hourly,Current Air Quality Health Index (AQHI) at individual general and roadside Air Quality Monitoring stations,N
Environment,Current air quality health index range and forecast,Environmental Protection Department,RSS,"AQHI: hourly / Forecast: 00:30, 10:30 and 16:30 everyday and as required",Current range and forecast of Air Quality Health Index (AQHI) at general and roadside stations,N
Housing,Address Lookup Service,Office of the Government Chief Information Officer,JSON/XML,Monthly,1. Address Lookup Service is a web service providing lookup function on Hong Kong address records in both Chinese and English aggregated from various Government Bureaux/Departments.  This web service allows data consumers to look up address records in...,Y
Development,Land Utilization in Hong Kong 2016,Planning Department,XLS,Every year,"The land use data was compiled using satellite images dated December 2016 and January 2017 (©AIRBUS DS(2016, 2017)), in-house survey information of the Planning Department up to end-2016 and other relevant information from various government...",N
Development,Land Sale Records,Lands Department,XLSX,As and when necessary,Land Sale Records,Y
Development,Land Exchange Transactions,Lands Department,XLSX,As and when necessary,Land Exchange Transactions,Y
Development,Monthly Digests of Buildings Department - Detailed information - Buildings for which Building Authority has issued demolition consent,Buildings Department,XLS,Monthly,"Statistics extracted from the Monthly Digests published by the Buildings Department.

For more details about this dataset, you may refer to the PDF version of the Monthly Digests published on [the website of the Buildings...",N
IT and Broadcasting,IT Services Suppliers (Interested Suppliers),Office of the Government Chief Information Officer,XLS,As and when necessary,"Interested Suppliers are those suppliers that have expressed their interest to supply Information Technology (IT) professional services to the Government. 
Please refer to [the Government IT Business Window of OGCIO...",Y
IT and Broadcasting,IT Services Suppliers (Active Suppliers),Office of the Government Chief Information Officer,XLS,As and when necessary,"Active Suppliers are those suppliers that have supplied Information Technology (IT) professional services to the Government over the past three years, either as a contractor or as a sub-contractor. 
Please refer to [the Government IT Business Window...",Y
Environment,Beach water quality,Environmental Protection Department,RSS,As and when necessary,Latest information on beach water quality grading,N
Development,Geo-referenced public facility data,Lands Department,CSV,As and when necessary,"Geo-referenced public facility data, such as locations of Aided Primary Schools,Aided Secondary Schools, Aided Special Schools, Air Quality Monitoring Network of Hong Kong, Badminton Courts, Barbecue Areas (AFCD), Barbecue Areas (LCSD), Basketball...",N
Development,Geodetic Survey Control Station Database,Lands Department,GML/KML/XLS/XML,As and when necessary,"There are about 5,500 Geodetic Survey Control Stations in Hong Kong, including trigonometric stations, bench marks and traverse stations. The coordinates of these stations can be widely adopted for positioning tasks. The Database files (xls/xml files)...",Y
IT and Broadcasting,Hong Kong Supplementary Character Set related information,Office of the Government Chief Information Officer,JSON,As and when necessary,"Information related to the Hong Kong Supplementary Character Set including ISO/IEC 10646 code point, character, compatibility point, Cangjei, Cantonese pinyin and Big5 code, etc.",N
IT and Broadcasting,Government IT Expenditure,Office of the Government Chief Information Officer,XLS,Every 1 year,The Government IT expenditure in the past years,Y
Education,List of UGC-funded Programmes,University Grants Committee Secretariat,CSV,Every year,List of all UGC-funded programmes.,Y
Development,Lease Modification Transactions,Lands Department,XLSX,As and when necessary,Lease Modification Transactions,Y
Development,Digital Terrain Model (DTM),Lands Department,ASC,As and when necessary,The DTM is a digital terrain model of the Hong Kong Special Administrative Region. It shows the topography of terrain (including non-ground information such as elevated roads and bridges) in 5-metre raster grid with an accuracy of ±5m.,N
IT and Broadcasting,Hong Kong Innovation Activities Statistics,Census and Statistics Department,XLS/XML,Annual,Hong Kong Innovation Activities Statistics,N
Education,"Operating Classes, Accommodation, Student Enrolment and Repeaters in Primary Schools by Grade",Education Bureau,XLS,Yearly,"Provides operating classes, accommodation, student enrolment and repeaters in primary schools by grade",N
Development,Coordinates Transformation API,Lands Department,JSON,As and when necessary,"This Application Programming Interface (API) provides instant conversion between HK 1980 Grid Coordinates (Northing and Easting) and WGS84 (ITRF96) Geodetic Coordinates (Latitude and Longitude). The conversion methods, parameters and formulas used in...",Y
Environment,Food Safety and Public Health Statistics,Food and Environmental Hygiene Department,XLS,As and when necessary,Food Safety and Public Health Statistics (2014-2017),N
Development,"Monthly Digests of Buildings Department - Existing buildings - Advisory letters issued on building defects, unauthorised building work and defective drains",Buildings Department,XLS,Monthly,"Statistics extracted from the Monthly Digests published by the Buildings Department.

For more details about this dataset, you may refer to the PDF version of the Monthly Digests published on [the website of the Buildings...",N
IT and Broadcasting,Past OGCIO Sponsorship Projects,Office of the Government Chief Information Officer,XLS,As and when necessary,"To deliver the desired outcomes of the Digital 21 Strategy, OGCIO supports or partners with non-profit organisations to organise programmes through provision of financial sponsorship. Such collaboration encourages industry participation and uses of...",Y
Education,List of Study Room,Education Bureau,XLSX,Yearly,"List of study room operated / subvented by the Education Bureau, the Leisure and Cultural Services Deparment, the Social Welfare Department, the Home Affairs Department and non-government organizations.",Y
